day,region,nodes_count,xdr_permyriad
14-06-2025,Asia:HK,14,567499.8749
14-06-2025,Asia:KR,18,474687.4281
15-06-2025,Asia:HK,14,567499.8749
15-06-2025,Asia:KR,18,474687.4281
16-06-2025,Asia:HK,14,567499.8749
16-06-2025,Asia:KR,18,474687.4281
17-06-2025,Asia:HK,14,567499.8749
17-06-2025,Asia:KR,18,474687.4281
18-06-2025,Asia:HK,14,567499.8749
18-06-2025,Asia:KR,18,474687.4281
19-06-2025,Asia:HK,14,567499.8749
19-06-2025,Asia:KR,18,474687.4281
20-06-2025,Asia:HK,14,567499.8749
20-06-2025,Asia:KR,18,474687.4281
21-06-2025,Asia:HK,14,567499.8749
21-06-2025,Asia:KR,18,474687.4281
22-06-2025,Asia:HK,14,567499.8749
22-06-2025,Asia:KR,18,474687.4281
23-06-2025,Asia:HK,14,567499.8749
23-06-2025,Asia:KR,18,474687.4281
24-06-2025,Asia:HK,14,567499.8749
24-06-2025,Asia:KR,18,474687.4281
25-06-2025,Asia:HK,14,567499.8749
25-06-2025,Asia:KR,18,474687.4281
26-06-2025,Asia:HK,14,567499.8749
26-06-2025,Asia:KR,18,474687.4281
27-06-2025,Asia:HK,14,567499.8749
27-06-2025,Asia:KR,18,474687.4281
28-06-2025,Asia:HK,14,567499.8749
28-06-2025,Asia:KR,18,474687.4281
29-06-2025,Asia:HK,14,567499.8749
29-06-2025,Asia:KR,18,474687.4281
30-06-2025,Asia:HK,14,567499.8749
30-06-2025,Asia:KR,18,474687.4281
01-07-2025,Asia:HK,14,567499.8749
01-07-2025,Asia:KR,18,474687.4281
02-07-2025,Asia:HK,14,567499.8749
02-07-2025,Asia:KR,18,474687.4281
03-07-2025,Asia:HK,14,567499.8749
03-07-2025,Asia:KR,18,474687.4281
04-07-2025,Asia:HK,14,567499.8749
04-07-2025,Asia:KR,18,474687.4281
05-07-2025,Asia:HK,14,567499.8749
05-07-2025,Asia:KR,18,474687.4281
06-07-2025,Asia:HK,14,567499.8749
06-07-2025,Asia:KR,18,474687.4281
07-07-2025,Asia:HK,14,567499.8749
07-07-2025,Asia:KR,18,474687.4281
08-07-2025,Asia:HK,14,567499.8749
08-07-2025,Asia:KR,18,474687.4281
09-07-2025,Asia:HK,14,567499.8749
09-07-2025,Asia:KR,18,474687.4281
10-07-2025,Asia:HK,14,567499.8749
10-07-2025,Asia:KR,18,474687.4281
11-07-2025,Asia:HK,14,567499.8749
11-07-2025,Asia:KR,18,474687.4281
12-07-2025,Asia:HK,14,567499.8749
12-07-2025,Asia:KR,18,474687.4281
13-07-2025,Asia:HK,14,567499.8749
13-07-2025,Asia:KR,18,474687.4281
