node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,14-06-2025,assigned,k44fs,0.0049,14532,324,0.0218,0.0168,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,15-06-2025,assigned,k44fs,0.0039,14142,609,0.0412,0.0373,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,16-06-2025,assigned,k44fs,0.0068,14020,423,0.0292,0.0224,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,17-06-2025,assigned,k44fs,0.0051,14141,370,0.0254,0.0203,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,18-06-2025,assigned,k44fs,0.0165,14322,173,0.0119,0.0000,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,19-06-2025,assigned,k44fs,0.0059,14308,131,0.0090,0.0031,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,20-06-2025,assigned,k44fs,0.0045,14772,133,0.0089,0.0043,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,21-06-2025,assigned,k44fs,0.0050,14743,98,0.0066,0.0015,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,22-06-2025,assigned,k44fs,0.0055,14731,96,0.0064,0.0009,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,23-06-2025,assigned,k44fs,0.0061,14183,548,0.0372,0.0310,,1.0000,0.0000,474687.4281,474687.4281
vn5yd,Type3dot1,"Asia,KR,Seoul",kr1,24-06-2025,assigned,k44fs,0.0090,14620,134,0.0090,0.0000,,1.0000,0.0000,474687.4281,474687.4281
