day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,16489371.9568,32,
15-06-2025,16489371.9568,32,
16-06-2025,16489371.9568,32,
17-06-2025,16489371.9568,32,
18-06-2025,16489371.9568,32,
19-06-2025,16489371.9568,32,
20-06-2025,16030214.6038,32,"td2et,uf3xb,fqczw"
21-06-2025,16109622.0142,32,uf3xb
22-06-2025,16480232.5285,32,td2et
23-06-2025,16188964.1243,32,"td2et,fqczw"
24-06-2025,16297057.3525,32,td2et
25-06-2025,16250552.8259,32,td2et
26-06-2025,16421430.3345,32,td2et
27-06-2025,16109622.0142,32,td2et
28-06-2025,16109622.0142,32,td2et
29-06-2025,16489371.9568,32,
30-06-2025,15045750.5680,32,"mhfef,td2et,uf3xb,fqczw"
01-07-2025,16296552.3126,32,td2et
02-07-2025,16483114.4093,32,td2et
03-07-2025,16489371.9568,32,
04-07-2025,16489371.9568,32,
05-07-2025,16470532.7945,32,td2et
06-07-2025,16450367.2510,32,td2et
07-07-2025,16421460.8709,32,td2et
08-07-2025,16426371.3282,32,td2et
09-07-2025,16019399.0333,32,"vn5yd,td2et,5alj6,isegs,qtcl6,ttjeo"
10-07-2025,16387628.7507,32,td2et
11-07-2025,16437293.7468,32,td2et
12-07-2025,16437207.2147,32,td2et
13-07-2025,16464809.9601,32,td2et
