day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,0.0000,42,6fm36
15-06-2025,0.0000,42,
16-06-2025,0.0000,42,
17-06-2025,0.0000,42,6fm36
18-06-2025,0.0000,42,
19-06-2025,0.0000,42,6fm36
20-06-2025,0.0000,42,6fm36
21-06-2025,0.0000,42,6fm36
22-06-2025,0.0000,42,
23-06-2025,0.0000,42,
24-06-2025,0.0000,42,
25-06-2025,0.0000,42,
26-06-2025,0.0000,42,
27-06-2025,0.0000,42,
28-06-2025,0.0000,42,
29-06-2025,0.0000,42,
30-06-2025,0.0000,42,
01-07-2025,0.0000,42,
02-07-2025,0.0000,42,
03-07-2025,0.0000,42,
04-07-2025,0.0000,42,
05-07-2025,0.0000,42,
06-07-2025,0.0000,42,
07-07-2025,0.0000,42,
08-07-2025,0.0000,42,
09-07-2025,0.0000,42,
10-07-2025,0.0000,42,
11-07-2025,0.0000,42,
12-07-2025,0.0000,42,
13-07-2025,0.0000,42,
