day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,18724928.1314,42,
15-06-2025,18724928.1314,42,
16-06-2025,18724928.1314,42,
17-06-2025,18724928.1314,42,
18-06-2025,18724928.1314,42,
19-06-2025,18724928.1314,42,
20-06-2025,18724928.1314,42,
21-06-2025,18724928.1314,42,
22-06-2025,18724928.1314,42,
23-06-2025,18724928.1314,42,
24-06-2025,18724928.1314,42,
25-06-2025,18724928.1314,42,
26-06-2025,18724928.1314,42,
27-06-2025,18724928.1314,42,
28-06-2025,18724928.1314,42,
29-06-2025,18724928.1314,42,
30-06-2025,18368262.8336,42,bkg32
01-07-2025,18143795.6931,42,"6jkz4,gutgu,467sz,4l7la,qvn2y,abg3e,xgowg,33s7q,h77iq,o4yks,hynox,mw6i7,tyysz,545fc,o4dpm,sixq2,oxfpl,22pkm,vc3nr,ttz5n,t6xlc,tqkio,z5dvz,7ugp2,sqlgm,jpzm4,bc3ni,3j5ux,wkw34,ntq7u,bkg32,clto5,vkuk6,fwnqx"
02-07-2025,18189819.7834,42,"6jkz4,gutgu,467sz,4l7la,qvn2y,abg3e,xgowg,33s7q,h77iq,o4yks,hynox,mw6i7,tyysz,545fc,o4dpm,sixq2,oxfpl,22pkm,vc3nr,ttz5n,t6xlc,tqkio,z5dvz,7ugp2,sqlgm,jpzm4,bc3ni,3j5ux,wkw34,ntq7u,bkg32,clto5,vkuk6,fwnqx"
03-07-2025,18166954.8556,42,"6jkz4,gutgu,467sz,4l7la,qvn2y,abg3e,xgowg,33s7q,h77iq,o4yks,hynox,mw6i7,tyysz,545fc,o4dpm,sixq2,oxfpl,22pkm,vc3nr,ttz5n,t6xlc,tqkio,z5dvz,7ugp2,sqlgm,jpzm4,bc3ni,3j5ux,wkw34,ntq7u,bkg32,clto5,vkuk6,fwnqx"
04-07-2025,18129455.4527,42,"6jkz4,gutgu,467sz,4l7la,qvn2y,abg3e,xgowg,33s7q,h77iq,o4yks,hynox,mw6i7,tyysz,545fc,o4dpm,sixq2,oxfpl,22pkm,vc3nr,ttz5n,t6xlc,tqkio,z5dvz,7ugp2,sqlgm,jpzm4,bc3ni,3j5ux,wkw34,ntq7u,bkg32,clto5,vkuk6,fwnqx"
05-07-2025,18120029.5993,42,"6jkz4,gutgu,467sz,4l7la,qvn2y,abg3e,xgowg,33s7q,h77iq,o4yks,hynox,mw6i7,tyysz,545fc,o4dpm,sixq2,oxfpl,22pkm,vc3nr,ttz5n,t6xlc,tqkio,z5dvz,7ugp2,sqlgm,jpzm4,bc3ni,3j5ux,wkw34,ntq7u,bkg32,clto5,vkuk6,fwnqx"
06-07-2025,18117185.9865,42,"6jkz4,gutgu,467sz,4l7la,qvn2y,abg3e,xgowg,33s7q,h77iq,o4yks,hynox,mw6i7,tyysz,545fc,o4dpm,sixq2,oxfpl,22pkm,vc3nr,ttz5n,t6xlc,tqkio,z5dvz,7ugp2,sqlgm,jpzm4,bc3ni,3j5ux,wkw34,ntq7u,bkg32,clto5,vkuk6,fwnqx"
07-07-2025,18368262.8336,42,bkg32
08-07-2025,18368262.8336,42,bkg32
09-07-2025,18368262.8336,42,bkg32
10-07-2025,18368262.8336,42,bkg32
11-07-2025,18368262.8336,42,bkg32
12-07-2025,18368262.8336,42,bkg32
13-07-2025,18368262.8336,42,bkg32
