day,region,nodes_count,xdr_permyriad
14-06-2025,South America:AR,4,729469.0799
15-06-2025,South America:AR,4,729469.0799
16-06-2025,South America:AR,4,729469.0799
17-06-2025,South America:AR,4,729469.0799
18-06-2025,South America:AR,4,729469.0799
19-06-2025,South America:AR,4,729469.0799
20-06-2025,South America:AR,4,729469.0799
21-06-2025,South America:AR,4,729469.0799
22-06-2025,South America:AR,4,729469.0799
23-06-2025,South America:AR,4,729469.0799
24-06-2025,South America:AR,4,729469.0799
25-06-2025,South America:AR,4,729469.0799
26-06-2025,South America:AR,4,729469.0799
27-06-2025,South America:AR,4,729469.0799
28-06-2025,South America:AR,4,729469.0799
29-06-2025,South America:AR,4,729469.0799
30-06-2025,South America:AR,4,729469.0799
01-07-2025,South America:AR,4,729469.0799
02-07-2025,South America:AR,4,729469.0799
03-07-2025,South America:AR,4,729469.0799
04-07-2025,South America:AR,4,729469.0799
05-07-2025,South America:AR,4,729469.0799
06-07-2025,South America:AR,4,729469.0799
07-07-2025,South America:AR,4,729469.0799
08-07-2025,South America:AR,4,729469.0799
09-07-2025,South America:AR,4,729469.0799
10-07-2025,South America:AR,4,729469.0799
11-07-2025,South America:AR,4,729469.0799
12-07-2025,South America:AR,4,729469.0799
13-07-2025,South America:AR,4,729469.0799
