node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
yahq2,Type3dot1,"South America,AR,CABA",ar1,14-06-2025,assigned,tdb26,0.0028,3995,5,0.0012,0.0000,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,15-06-2025,assigned,tdb26,0.0018,3873,31,0.0079,0.0061,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,16-06-2025,assigned,tdb26,0.0021,3809,7,0.0018,0.0000,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,17-06-2025,assigned,tdb26,0.0020,3889,7,0.0017,0.0000,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,18-06-2025,assigned,tdb26,0.0026,3748,99,0.0257,0.0231,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,19-06-2025,assigned,tdb26,0.0035,3693,71,0.0188,0.0152,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,20-06-2025,assigned,tdb26,0.0017,3815,25,0.0065,0.0047,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,21-06-2025,assigned,tdb26,0.0012,3956,27,0.0067,0.0055,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,22-06-2025,assigned,tdb26,0.0025,3919,37,0.0093,0.0067,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,23-06-2025,assigned,tdb26,0.0028,3834,16,0.0041,0.0012,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,24-06-2025,assigned,tdb26,0.0031,3764,16,0.0042,0.0010,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,25-06-2025,assigned,tdb26,0.0031,3815,8,0.0020,0.0000,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,26-06-2025,assigned,tdb26,0.0032,3623,15,0.0041,0.0008,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,27-06-2025,assigned,tdb26,0.0034,3603,29,0.0079,0.0045,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,28-06-2025,assigned,tdb26,0.0016,3600,4,0.0011,0.0000,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,29-06-2025,assigned,tdb26,0.0018,3870,4,0.0010,0.0000,,1.0000,0.0000,729469.0799,729469.0799
yahq2,Type3dot1,"South America,AR,CABA",ar1,30-06-2025,assigned,tdb26,0.0048,4036,23,0.0056,0.0007,,1.0000,0.0000,729469.0799,729469.0799
