node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,15-06-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,16-06-2025,unassigned,,,,,,,0.0042,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,17-06-2025,unassigned,,,,,,,0.0004,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,20-06-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,23-06-2025,unassigned,,,,,,,0.0103,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,24-06-2025,unassigned,,,,,,,0.0146,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,25-06-2025,unassigned,,,,,,,0.0102,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,28-06-2025,unassigned,,,,,,,0.0014,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,29-06-2025,unassigned,,,,,,,0.0060,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,30-06-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,02-07-2025,unassigned,,,,,,,0.0206,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,03-07-2025,unassigned,,,,,,,0.0259,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,04-07-2025,unassigned,,,,,,,0.0322,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,05-07-2025,unassigned,,,,,,,0.0142,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,06-07-2025,unassigned,,,,,,,0.0004,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,07-07-2025,unassigned,,,,,,,0.0372,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,08-07-2025,unassigned,,,,,,,0.0062,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,09-07-2025,unassigned,,,,,,,0.0063,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,10-07-2025,unassigned,,,,,,,0.0338,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,11-07-2025,unassigned,,,,,,,0.0210,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,12-07-2025,unassigned,,,,,,,0.0160,1.0000,0.0000,390308.0082,390308.0082
6souc,Type1dot1,"Asia,JP,Tokyo",ty1,13-07-2025,unassigned,,,,,,,0.0277,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,15-06-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,16-06-2025,unassigned,,,,,,,0.0042,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,17-06-2025,unassigned,,,,,,,0.0004,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,20-06-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,23-06-2025,unassigned,,,,,,,0.0103,1.0000,0.0000,390308.0082,390308.0082
opoix,Type1dot1,"Asia,JP,Tokyo",ty3,24-06-2025,unassigned,,,,,,,0.0146,1.0000,0.0000,390308.0082,390308.0082
