node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
dvtqe,Type1,"North America,US,Georgia",at2,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,17-06-2025,unassigned,,,,,,,0.0355,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,19-06-2025,unassigned,,,,,,,0.0162,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,22-06-2025,unassigned,,,,,,,0.0002,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,23-06-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
dvtqe,Type1,"North America,US,Georgia",at2,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
