node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
ghmoa,Type0,"North America,US,Texas",hu1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,25-06-2025,unassigned,,,,,,,0.0004,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,30-06-2025,unassigned,,,,,,,0.0162,1.0000,0.0000,0.0000,0.0000
ghmoa,Type0,"North America,US,Texas",hu1,01-07-2025,unassigned,,,,,,,0.0108,1.0000,0.0000,0.0000,0.0000
