day,subnet_id,failure_rate
14-06-2025,brlsh,0.0008
14-06-2025,o3ow2,0.0085
14-06-2025,4ecnw,0.0001
14-06-2025,opn46,0.0000
14-06-2025,lhg73,0.0005
14-06-2025,nl6hn,0.0020
14-06-2025,io67a,0.0001
14-06-2025,ejbmu,0.0002
14-06-2025,gmq5v,0.0007
14-06-2025,6pbhf,0.0012
14-06-2025,eq6en,0.0177
14-06-2025,pjljw,0.0108
14-06-2025,4zbus,0.0021
14-06-2025,uzr34,0.0027
14-06-2025,5kdm2,0.0000
14-06-2025,pzp6e,0.0017
14-06-2025,e66qm,0.0000
14-06-2025,qdvhd,0.0006
14-06-2025,bkfrj,0.0036
14-06-2025,2fq7c,0.0247
14-06-2025,snjp4,0.0000
14-06-2025,shefu,0.0002
14-06-2025,csyj4,0.0001
14-06-2025,3hhby,0.0043
14-06-2025,k44fs,0.0049
14-06-2025,x33ed,0.0019
14-06-2025,yinp6,0.0001
14-06-2025,w4asl,0.0007
14-06-2025,mpubz,0.0010
14-06-2025,fuqsr,0.0009
14-06-2025,w4rem,0.0003
14-06-2025,cv73p,0.0008
14-06-2025,pae4o,0.0000
14-06-2025,tdb26,0.0028
14-06-2025,qxesv,0.0001
14-06-2025,lspz2,0.0021
14-06-2025,jtdsg,0.0005
15-06-2025,brlsh,0.0010
15-06-2025,o3ow2,0.0075
15-06-2025,4ecnw,0.0000
15-06-2025,opn46,0.0000
15-06-2025,lhg73,0.0005
15-06-2025,nl6hn,0.0006
15-06-2025,io67a,0.0001
15-06-2025,ejbmu,0.0000
15-06-2025,gmq5v,0.0006
15-06-2025,6pbhf,0.0032
15-06-2025,eq6en,0.0686
15-06-2025,pjljw,0.0061
15-06-2025,4zbus,0.0026
15-06-2025,uzr34,0.0022
15-06-2025,5kdm2,0.0001
15-06-2025,pzp6e,0.0019
15-06-2025,e66qm,0.0001
15-06-2025,qdvhd,0.0007
15-06-2025,bkfrj,0.0213
15-06-2025,2fq7c,0.0208
15-06-2025,snjp4,0.0001
15-06-2025,shefu,0.0002
15-06-2025,csyj4,0.0000
15-06-2025,3hhby,0.0085
15-06-2025,k44fs,0.0039
15-06-2025,x33ed,0.0019
15-06-2025,yinp6,0.0001
