node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,14-06-2025,unassigned,,,,,,,0.0041,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,15-06-2025,unassigned,,,,,,,0.0011,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,16-06-2025,unassigned,,,,,,,0.0020,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,17-06-2025,unassigned,,,,,,,0.0057,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,18-06-2025,unassigned,,,,,,,0.0029,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,19-06-2025,unassigned,,,,,,,0.0133,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,20-06-2025,unassigned,,,,,,,0.0998,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,21-06-2025,unassigned,,,,,,,0.0999,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,22-06-2025,unassigned,,,,,,,0.0999,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,23-06-2025,unassigned,,,,,,,0.1021,0.9966,0.0033,746123.7983,743597.4272
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,24-06-2025,unassigned,,,,,,,0.1000,0.9999,0.0000,746123.7983,746079.1801
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,25-06-2025,unassigned,,,,,,,0.0997,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,26-06-2025,unassigned,,,,,,,0.1003,0.9994,0.0005,746123.7983,745750.5848
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,27-06-2025,unassigned,,,,,,,0.0995,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,28-06-2025,unassigned,,,,,,,0.0998,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,29-06-2025,unassigned,,,,,,,0.0997,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,30-06-2025,unassigned,,,,,,,0.0675,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,03-07-2025,unassigned,,,,,,,0.0006,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,04-07-2025,unassigned,,,,,,,0.0002,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,09-07-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
hhau4,Type3,"Asia,IN,Navi Mumbai",nm1,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,14-06-2025,unassigned,,,,,,,0.0041,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,15-06-2025,unassigned,,,,,,,0.0011,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,16-06-2025,unassigned,,,,,,,0.0020,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,17-06-2025,unassigned,,,,,,,0.0057,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,18-06-2025,unassigned,,,,,,,0.0029,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,19-06-2025,unassigned,,,,,,,0.0133,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,20-06-2025,unassigned,,,,,,,0.0998,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,21-06-2025,unassigned,,,,,,,0.0999,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,22-06-2025,unassigned,,,,,,,0.0999,1.0000,0.0000,746123.7983,746123.7983
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,23-06-2025,unassigned,,,,,,,0.1021,0.9966,0.0033,746123.7983,743597.4272
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,24-06-2025,unassigned,,,,,,,0.1000,0.9999,0.0000,746123.7983,746079.1801
snaam,Type3,"Asia,IN,Navi Mumbai",nm1,25-06-2025,unassigned,,,,,,,0.0997,1.0000,0.0000,746123.7983,746123.7983
