day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,9460412.3315,13,
15-06-2025,9460412.3315,13,
16-06-2025,9460412.3315,13,
17-06-2025,9460412.3315,13,
18-06-2025,9460412.3315,13,
19-06-2025,9456875.9543,13,h3gd6
20-06-2025,8863513.2929,13,h3gd6
21-06-2025,8863513.2929,13,h3gd6
22-06-2025,8863513.2929,13,h3gd6
23-06-2025,8855934.1795,13,"hhau4,snaam,lj3ve,h3gd6"
24-06-2025,8863379.4382,13,"hhau4,snaam,lj3ve,h3gd6"
25-06-2025,8863513.2929,13,h3gd6
26-06-2025,8862393.6524,13,"hhau4,snaam,lj3ve,h3gd6"
27-06-2025,8863513.2929,13,h3gd6
28-06-2025,8863513.2929,13,h3gd6
29-06-2025,8863513.2929,13,h3gd6
30-06-2025,8863513.2929,13,h3gd6
01-07-2025,9460412.3315,13,
02-07-2025,9460412.3315,13,
03-07-2025,9460412.3315,13,
04-07-2025,9460412.3315,13,
05-07-2025,9460412.3315,13,
06-07-2025,9460412.3315,13,
07-07-2025,9460412.3315,13,
08-07-2025,9460412.3315,13,
09-07-2025,9460412.3315,13,
10-07-2025,9460412.3315,13,
11-07-2025,9460412.3315,13,
12-07-2025,9460412.3315,13,
13-07-2025,9460412.3315,13,
