day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,13131038.7790,18,
15-06-2025,13131038.7790,18,
16-06-2025,13131038.7790,18,
17-06-2025,13131038.7790,18,
18-06-2025,13131038.7790,18,
19-06-2025,13131038.7790,18,
20-06-2025,13131038.7790,18,
21-06-2025,13131038.7790,18,
22-06-2025,13131038.7790,18,
23-06-2025,13131038.7790,18,
24-06-2025,13131038.7790,18,
25-06-2025,13131038.7790,18,
26-06-2025,13131038.7790,18,
27-06-2025,13131038.7790,18,
28-06-2025,13131038.7790,18,
29-06-2025,13131038.7790,18,
30-06-2025,13131038.7790,18,
01-07-2025,13131038.7790,18,
02-07-2025,13131038.7790,18,
03-07-2025,13131038.7790,18,
04-07-2025,13131038.7790,18,
05-07-2025,13131038.7790,18,
06-07-2025,13131038.7790,18,
07-07-2025,13131038.7790,18,
08-07-2025,13131038.7790,18,
09-07-2025,13131038.7790,18,
10-07-2025,13131038.7790,18,
11-07-2025,13131038.7790,18,
12-07-2025,13131038.7790,18,
13-07-2025,13131038.7790,18,
