day,region,nodes_count,xdr_permyriad
14-06-2025,Asia:GE,18,526778.4751
14-06-2025,Europe:LT,7,436503.8972
15-06-2025,Asia:GE,18,526778.4751
15-06-2025,Europe:LT,7,436503.8972
16-06-2025,Asia:GE,18,526778.4751
16-06-2025,Europe:LT,7,436503.8972
17-06-2025,Asia:GE,18,526778.4751
17-06-2025,Europe:LT,7,436503.8972
18-06-2025,Asia:GE,18,526778.4751
18-06-2025,Europe:LT,7,436503.8972
19-06-2025,Asia:GE,18,526778.4751
19-06-2025,Europe:LT,7,436503.8972
20-06-2025,Asia:GE,18,526778.4751
20-06-2025,Europe:LT,7,436503.8972
21-06-2025,Asia:GE,18,526778.4751
21-06-2025,Europe:LT,7,436503.8972
22-06-2025,Asia:GE,18,526778.4751
22-06-2025,Europe:LT,7,436503.8972
23-06-2025,Asia:GE,18,526778.4751
23-06-2025,Europe:LT,7,436503.8972
24-06-2025,Asia:GE,18,526778.4751
24-06-2025,Europe:LT,7,436503.8972
25-06-2025,Asia:GE,18,526778.4751
25-06-2025,Europe:LT,7,436503.8972
26-06-2025,Asia:GE,18,526778.4751
26-06-2025,Europe:LT,7,436503.8972
27-06-2025,Asia:GE,18,526778.4751
27-06-2025,Europe:LT,7,436503.8972
28-06-2025,Asia:GE,18,526778.4751
28-06-2025,Europe:LT,7,436503.8972
29-06-2025,Asia:GE,18,526778.4751
29-06-2025,Europe:LT,7,436503.8972
30-06-2025,Asia:GE,18,526778.4751
30-06-2025,Europe:LT,7,436503.8972
01-07-2025,Asia:GE,18,526778.4751
01-07-2025,Europe:LT,7,436503.8972
02-07-2025,Asia:GE,18,526778.4751
02-07-2025,Europe:LT,7,436503.8972
03-07-2025,Asia:GE,18,526778.4751
03-07-2025,Europe:LT,7,436503.8972
04-07-2025,Asia:GE,18,526778.4751
04-07-2025,Europe:LT,7,436503.8972
05-07-2025,Asia:GE,18,526778.4751
05-07-2025,Europe:LT,7,436503.8972
06-07-2025,Asia:GE,18,526778.4751
06-07-2025,Europe:LT,7,436503.8972
07-07-2025,Asia:GE,18,526778.4751
07-07-2025,Europe:LT,7,436503.8972
08-07-2025,Asia:GE,18,526778.4751
08-07-2025,Europe:LT,7,436503.8972
09-07-2025,Asia:GE,18,526778.4751
09-07-2025,Europe:LT,7,436503.8972
10-07-2025,Asia:GE,18,526778.4751
10-07-2025,Europe:LT,7,436503.8972
11-07-2025,Asia:GE,18,526778.4751
11-07-2025,Europe:LT,7,436503.8972
12-07-2025,Asia:GE,18,526778.4751
12-07-2025,Europe:LT,7,436503.8972
13-07-2025,Asia:GE,18,526778.4751
13-07-2025,Europe:LT,7,436503.8972
