node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
r3tow,Type1dot1,"Europe,CH,Geneva",ge1,13-07-2025,unassigned,,,,,,,0.0013,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
blwrh,Type1dot1,"Europe,CH,Geneva",ge1,13-07-2025,unassigned,,,,,,,0.0013,1.0000,0.0000,373223.8193,373223.8193
mvq4c,Type1dot1,"Europe,CH,Geneva",ge1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
