day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,5225133.4702,14,
15-06-2025,5225133.4702,14,
16-06-2025,5225133.4702,14,
17-06-2025,5225133.4702,14,
18-06-2025,5225133.4702,14,
19-06-2025,5225133.4702,14,
20-06-2025,5225133.4702,14,
21-06-2025,5225133.4702,14,
22-06-2025,5225133.4702,14,
23-06-2025,5225133.4702,14,
24-06-2025,5225133.4702,14,
25-06-2025,5225133.4702,14,
26-06-2025,5225133.4702,14,
27-06-2025,5225133.4702,14,
28-06-2025,5225133.4702,14,
29-06-2025,5225133.4702,14,
30-06-2025,5225133.4702,14,
01-07-2025,5225133.4702,14,
02-07-2025,5225133.4702,14,
03-07-2025,5225133.4702,14,
04-07-2025,5225133.4702,14,
05-07-2025,5225133.4702,14,
06-07-2025,5225133.4702,14,
07-07-2025,5225133.4702,14,
08-07-2025,5225133.4702,14,
09-07-2025,5225133.4702,14,
10-07-2025,5225133.4702,14,
11-07-2025,5225133.4702,14,
12-07-2025,5225133.4702,14,
13-07-2025,5225133.4702,14,
