day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,756960.9856,42,
15-06-2025,756960.9856,42,2lhun
16-06-2025,756960.9856,42,
17-06-2025,756960.9856,42,
18-06-2025,756960.9856,42,
19-06-2025,756960.9856,42,
20-06-2025,756960.9856,42,
21-06-2025,756960.9856,42,
22-06-2025,756960.9856,42,2lhun
23-06-2025,756960.9856,42,2lhun
24-06-2025,756960.9856,42,
25-06-2025,756960.9856,42,
26-06-2025,756960.9856,42,
27-06-2025,756960.9856,42,2lhun
28-06-2025,756960.9856,42,2lhun
29-06-2025,756960.9856,42,2lhun
30-06-2025,756960.9856,42,2lhun
01-07-2025,756960.9856,42,2lhun
02-07-2025,756960.9856,42,
03-07-2025,756960.9856,42,
04-07-2025,756960.9856,42,
05-07-2025,756960.9856,42,2lhun
06-07-2025,756960.9856,42,2lhun
07-07-2025,756960.9856,42,2lhun
08-07-2025,756960.9856,42,2lhun
09-07-2025,756960.9856,42,2lhun
10-07-2025,756960.9856,42,2lhun
11-07-2025,756960.9856,42,
12-07-2025,756960.9856,42,
13-07-2025,756960.9856,42,
