node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
xju2z,Type1dot1,"Asia,JP,Tokyo",ty2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
xju2z,Type1dot1,"Asia,JP,Tokyo",ty2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
yft3j,Type1dot1,"Asia,JP,Tokyo",ty2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
yft3j,Type1dot1,"Asia,JP,Tokyo",ty2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
aa74l,Type1dot1,"Asia,JP,Tokyo",ty2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
aa74l,Type1dot1,"Asia,JP,Tokyo",ty2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
tfnhc,Type1dot1,"Asia,JP,Tokyo",ty2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
tfnhc,Type1dot1,"Asia,JP,Tokyo",ty2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
624ei,Type1dot1,"Asia,JP,Tokyo",ty2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
624ei,Type1dot1,"Asia,JP,Tokyo",ty2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
hpdn7,Type1dot1,"Asia,JP,Tokyo",ty2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
hpdn7,Type1dot1,"Asia,JP,Tokyo",ty2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
zvxr7,Type1dot1,"Asia,JP,Tokyo",ty2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
zvxr7,Type1dot1,"Asia,JP,Tokyo",ty2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
nqc5k,Type1dot1,"Asia,JP,Tokyo",ty2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
nqc5k,Type1dot1,"Asia,JP,Tokyo",ty2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,390308.0082,390308.0082
