node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
24iqu,Type1dot1,"North America,US,Florida",or1,14-06-2025,assigned,uzr34,0.0027,5359,3,0.0005,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,15-06-2025,assigned,uzr34,0.0022,5267,2,0.0003,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,16-06-2025,assigned,uzr34,0.0020,5279,1,0.0001,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,17-06-2025,assigned,uzr34,0.0012,5290,2,0.0003,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,18-06-2025,assigned,uzr34,0.0007,5374,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,19-06-2025,assigned,uzr34,0.0012,5389,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,20-06-2025,assigned,uzr34,0.0009,5422,1,0.0001,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,21-06-2025,assigned,uzr34,0.0006,4984,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,22-06-2025,assigned,uzr34,0.0008,4688,11,0.0023,0.0014,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,23-06-2025,assigned,uzr34,0.0036,5276,2,0.0003,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,24-06-2025,assigned,uzr34,0.0009,5619,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,25-06-2025,assigned,uzr34,0.0019,5503,1,0.0001,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,26-06-2025,assigned,uzr34,0.0015,5350,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,27-06-2025,assigned,uzr34,0.0019,5117,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,28-06-2025,assigned,uzr34,0.0017,4629,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,29-06-2025,assigned,uzr34,0.0013,5158,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,30-06-2025,assigned,uzr34,0.0020,5518,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,01-07-2025,assigned,uzr34,0.0014,5551,1,0.0001,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,02-07-2025,assigned,uzr34,0.0010,5545,1,0.0001,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,03-07-2025,assigned,uzr34,0.0014,5474,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,04-07-2025,assigned,uzr34,0.0009,5472,1,0.0001,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,05-07-2025,assigned,uzr34,0.0007,5546,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,06-07-2025,assigned,uzr34,0.0007,5696,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,07-07-2025,assigned,uzr34,0.0016,5500,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,08-07-2025,assigned,uzr34,0.0012,5521,7,0.0012,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,09-07-2025,assigned,uzr34,0.0007,5403,5,0.0009,0.0001,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,10-07-2025,assigned,uzr34,0.0012,5544,22,0.0039,0.0026,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,11-07-2025,assigned,uzr34,0.0007,5593,1,0.0001,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,12-07-2025,assigned,uzr34,0.0003,5616,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
24iqu,Type1dot1,"North America,US,Florida",or1,13-07-2025,assigned,uzr34,0.0005,5290,1,0.0001,0.0000,,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,22-06-2025,unassigned,,,,,,,0.0003,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,23-06-2025,unassigned,,,,,,,0.0013,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,10-07-2025,unassigned,,,,,,,0.0005,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,11-07-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
76mrs,Type1dot1,"North America,US,Florida",or1,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,14-06-2025,assigned,tdb26,0.0028,3758,1,0.0002,0.0000,,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,15-06-2025,assigned,tdb26,0.0018,3835,1,0.0002,0.0000,,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,16-06-2025,assigned,tdb26,0.0021,3874,0,0.0000,0.0000,,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,17-06-2025,assigned,tdb26,0.0020,3887,3,0.0007,0.0000,,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,18-06-2025,assigned,tdb26,0.0026,3912,2,0.0005,0.0000,,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,19-06-2025,assigned,tdb26,0.0035,3861,3,0.0007,0.0000,,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,20-06-2025,assigned,tdb26,0.0017,3890,3,0.0007,0.0000,,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,21-06-2025,assigned,tdb26,0.0012,3825,3,0.0007,0.0000,,1.0000,0.0000,352197.1252,352197.1252
oirv5,Type1dot1,"North America,US,Florida",or1,22-06-2025,assigned,tdb26,0.0025,3874,9,0.0023,0.0000,,1.0000,0.0000,352197.1252,352197.1252
