day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,11351786.4476,28,
15-06-2025,11351786.4476,28,
16-06-2025,11351786.4476,28,
17-06-2025,11351786.4476,28,
18-06-2025,11351786.4476,28,
19-06-2025,11351786.4476,28,
20-06-2025,11351786.4476,28,
21-06-2025,11351786.4476,28,
22-06-2025,11351786.4476,28,
23-06-2025,11351786.4476,28,
24-06-2025,11351786.4476,28,
25-06-2025,11351786.4476,28,
26-06-2025,11351786.4476,28,
27-06-2025,11351786.4476,28,
28-06-2025,11351786.4476,28,
29-06-2025,11351786.4476,28,
30-06-2025,4475490.8139,28,"kgjee,tqxq3,lm2xj,ayf37,5lwhb,364us,5zldm,txayu,45wdz,wqpvr,puggd,5sabo,3hmzi,pgjz5,kl6gp,qae5l,ewqex,p2pul,y4kyj,5nkgj,oagfb,5qfrp,c6vcy,f6etz,52ykw,jo2yf,dglrt"
01-07-2025,4287510.8883,28,"kgjee,tqxq3,lm2xj,ayf37,5lwhb,364us,5zldm,txayu,45wdz,wqpvr,puggd,5sabo,3hmzi,pgjz5,kl6gp,qae5l,ewqex,p2pul,y4kyj,5nkgj,oagfb,5qfrp,c6vcy,f6etz,52ykw,jo2yf,dglrt"
02-07-2025,8154483.9587,28,"kgjee,tqxq3,lm2xj,ayf37,5lwhb,364us,5zldm,txayu,45wdz,wqpvr,puggd,5sabo,3hmzi,pgjz5,kl6gp,qae5l,ewqex,p2pul,y4kyj,5nkgj,oagfb,5qfrp,c6vcy,f6etz,52ykw,jo2yf,dglrt"
03-07-2025,11351786.4476,28,
04-07-2025,11351786.4476,28,
05-07-2025,11351786.4476,28,
06-07-2025,11351786.4476,28,
07-07-2025,11351786.4476,28,
08-07-2025,11351786.4476,28,
09-07-2025,11351786.4476,28,
10-07-2025,11351786.4476,28,
11-07-2025,11351786.4476,28,
12-07-2025,11351786.4476,28,
13-07-2025,11351786.4476,28,
