day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,7402540.2128,15,
15-06-2025,7402540.2128,15,
16-06-2025,7402540.2128,15,
17-06-2025,7402540.2128,15,
18-06-2025,7402540.2128,15,
19-06-2025,7402540.2128,15,
20-06-2025,7402540.2128,15,
21-06-2025,7402540.2128,15,
22-06-2025,7402540.2128,15,
23-06-2025,7402540.2128,15,
24-06-2025,7402540.2128,15,
25-06-2025,7402540.2128,15,
26-06-2025,7402540.2128,15,
27-06-2025,5936480.8876,15,"covnt,3pjo5,5jqmb,2dzst,dyycg,fh6lp,2katp,w2sev,bfj6y,kwlys,mtti3,k4ecc,nr6q7,tmevu,srgrm"
28-06-2025,1480508.0425,15,"covnt,3pjo5,5jqmb,2dzst,dyycg,fh6lp,2katp,w2sev,bfj6y,kwlys,mtti3,k4ecc,nr6q7,tmevu,srgrm"
29-06-2025,4665577.5351,15,"covnt,3pjo5,5jqmb,2dzst,dyycg,fh6lp,2katp,w2sev,bfj6y,kwlys,mtti3,k4ecc,nr6q7,tmevu,srgrm"
30-06-2025,7402540.2128,15,
01-07-2025,7402540.2128,15,
02-07-2025,7402540.2128,15,
03-07-2025,7402540.2128,15,
04-07-2025,7402540.2128,15,
05-07-2025,7402540.2128,15,
06-07-2025,7402540.2128,15,
07-07-2025,7402540.2128,15,
08-07-2025,7402540.2128,15,
09-07-2025,7402540.2128,15,
10-07-2025,7402540.2128,15,
11-07-2025,7402540.2128,15,
12-07-2025,7402540.2128,15,
13-07-2025,7402540.2128,15,
